,no_of_items,variation,total,paid,change
978,1,1,50.0,200.0,150.0
979,1,1,25.0,30.0,5.0
980,1,1,30.0,100.0,70.0
981,1,1,101.0,150.0,49.0
982,1,1,90.0,100.0,10.0
983,1,1,60.0,60.0,0.0
984,1,1,108.0,150.0,42.0
985,1,1,56.0,100.0,44.0
986,1,1,30.0,100.0,30.0
987,1,1,155.0,200.0,45.0
988,1,1,70.0,500.0,430.0
989,2,2,40.0,100.0,60.0
990,1,1,96.6,500.0,403.4
991,1,1,80.0,200.0,120.0
992,1,1,40.0,100.0,60.0
993,1,1,73.2,100.0,26.8
994,1,1,127.0,200.0,73.0
995,1,1,38.5,100.0,61.5
996,1,1,70.0,200.0,130.0
997,1,1,35.0,200.0,165.0
998,1,1,60.0,60.0,0.0
999,3,2,114.6,200.0,85.4
1000,1,1,60.0,100.0,40.0
1001,1,1,70.0,100.0,30.0
1002,2,1,115.0,120.0,5.0
1003,1,1,40.0,100.0,60.0
1004,1,1,91.0,500.0,409.0
1005,1,1,40.0,100.0,60.0
1006,1,1,90.0,90.0,0.0
1007,1,1,90.0,100.0,10.0
1008,1,1,60.0,100.0,40.0
1009,1,1,60.0,70.0,10.0
1010,1,1,60.0,60.0,0.0
1011,1,1,40.0,40.0,0.0
1012,1,1,56.0,56.0,0.0
1013,1,1,25.0,30.0,5.0
1014,2,2,182.0,200.0,18.0
1015,5,2,410.0,500.0,90.0
1016,1,1,100.1,1000.0,899.9
1017,3,2,105.0,200.0,15.0
1018,1,1,50.0,100.0,50.0
1019,1,1,40.0,50.0,10.0
1020,1,2,30.0,30.0,0.0
1021,1,1,75.0,100.0,25.0
1022,1,1,99.6,500.0,400.4
1023,1,1,60.0,500.0,440.0
1024,2,2,105.0,500.0,395.0
1025,1,1,20.0,20.0,0.0
1026,1,1,30.0,25.0,5.0
1027,2,2,120.0,150.0,30.0
1028,1,1,45.0,500.0,455.0
1029,2,2,110.0,110.0,0.0
1030,1,1,90.0,100.0,10.0
1031,1,1,35.0,50.0,15.0
1032,1,1,60.0,60.0,0.0
1033,1,1,68.0,100.0,32.0
1034,1,1,90.0,100.0,10.0
1035,1,1,50.0,50.0,0.0
1036,1,1,580.0,1000.0,420.0
1037,1,1,95.0,95.0,0.0
1038,2,1,119.0,200.0,81.0
1039,1,1,416.0,500.0,84.0
1040,3,2,412.0,500.0,88.0
1041,2,1,223.0,100.0,777.0
1042,5,2,220.0,300.0,80.0
1043,3,1,720.0,1000.0,280.0
1044,7,3,542.0,1000.0,458.0
1045,2,1,110.0,110.0,0.0
1046,4,1,680.0,1650.0,970.0
1047,2,2,260.0,270.0,10.0
1048,4,1,199.0,200.0,1.0
1049,3,1,357.0,500.0,43.0
1050,7,1,1245.0,1500.0,255.0
1051,2,1,351.0,400.0,49.0
1052,1,1,350.0,350.0,0.0
1053,9,2,1245.0,1500.0,255.0
1054,1,1,45.0,1000.0,955.0
1055,1,1,60.0,1000.0,940.0
1056,3,2,345.0,400.0,55.0
1057,2,2,253.0,1000.0,747.0
1058,4,2,321.0,325.0,4.0
1059,1,1,360.0,1000.0,640.0
1060,2,2,164.0,200.0,36.0
1061,2,1,202.0,205.0,3.0
1062,3,1,35.0,50.0,15.0
1063,2,1,239.0,500.0,261.0
1064,4,2,367.0,1000.0,633.0
1065,1,1,46.05,50.0,3.95
1066,4,1,504.0,1000.0,496.0
1067,2,1,330.0,500.0,170.0
1068,1,1,1000.0,800.0,200.0
1069,1,1,45.0,100.0,55.0
1070,1,1,120.0,500.0,380.0
1073,21,5,12475.0,12475.0,0.0
1076,1,1,85.0,100.0,15.0
1079,1,1,60.0,100.0,40.0
1087,1,1,100.0,1000.0,900.0
1088,1,1,95.0,100.0,5.0
1089,1,1,40.0,100.0,60.0
1090,2,1,55.0,100.0,45.0
1091,2,1,179.0,200.0,23.0
1092,2,1,91.0,100.0,9.0
1093,2,1,80.0,200.0,120.0
1094,1,1,40.0,50.0,10.0
1095,2,1,78.0,100.0,22.0
1096,1,1,60.0,100.0,40.0
1097,3,1,135.0,150.0,15.0
1098,1,1,40.0,50.0,10.0
1099,1,1,37.0,200.0,163.0
1100,1,1,68.0,200.0,132.0
1101,1,1,60.0,100.0,40.0
1102,2,1,70.0,100.0,30.0
1103,1,1,25.0,200.0,175.0
1104,1,1,50.0,100.0,50.0
1105,1,1,100.0,200.0,100.0
1106,1,1,100.0,100.0,0.0
1107,1,1,3.0,3.0,0.0
1108,1,1,50.0,50.0,0.0
1109,1,1,65.0,100.0,35.0
1110,1,1,30.0,100.0,70.0
1111,1,1,40.0,40.0,0.0
1112,1,1,90.0,200.0,110.0
1113,2,1,375.0,375.0,0.0
1114,2,1,105.0,200.0,95.0
1115,1,1,49.0,200.0,151.0
1116,1,1,56.0,100.0,44.0
1117,1,1,50.0,50.0,0.0
1118,2,1,75.0,500.0,425.0
1119,1,1,60.0,100.0,40.0
1120,1,1,40.0,50.0,10.0
1121,1,1,50.0,100.0,50.0
1122,1,1,80.0,100.0,20.0
1123,1,1,123.0,200.0,77.0
1124,1,1,80.0,100.0,20.0
1125,1,1,126.0,126.0,0.0
1126,1,1,100.0,100.0,0.0
1127,1,1,50.0,50.0,0.0
1128,2,1,125.0,200.0,75.0
1129,4,1,320.0,400.0,80.0
1130,4,1,272.0,300.0,22.0
1131,2,1,180.0,500.0,320.0
1132,1,1,55.0,100.0,45.0
1133,2,1,100.0,200.0,100.0
1134,2,1,80.0,100.0,20.0
1135,1,1,100.0,100.0,0.0
1136,3,2,158.0,200.0,42.0
1137,1,1,160.0,160.0,0.0
1138,2,1,80.0,100.0,20.0
1139,3,1,115.0,1000.0,885.0
1140,2,1,90.0,100.0,10.0
1141,1,1,60.0,100.0,40.0
1142,1,1,60.0,500.0,440.0
1143,5,1,231.0,250.0,19.0
1144,3,1,306.0,500.0,194.0
1145,3,1,200.0,200.0,0.0
1146,1,1,30.0,100.0,70.0
1147,1,1,60.0,100.0,40.0
1148,1,1,60.0,60.0,40.0
1149,1,1,230.0,100.0,770.0
1150,1,1,60.0,100.0,40.0
1151,1,1,60.0,100.0,40.0
1152,1,1,80.0,500.0,420.0
1153,2,1,110.0,110.0,0.0
1154,1,1,40.0,40.0,0.0
1155,2,1,159.0,200.0,41.0
1156,1,1,70.0,500.0,430.0
1157,5,3,170.0,200.0,30.0
1158,3,1,110.0,200.0,90.0
1159,1,1,60.0,60.0,0.0
1160,2,1,135.0,150.0,15.0
1161,1,1,30.0,100.0,30.0
1162,1,1,90.0,100.0,10.0
1163,1,1,160.0,200.0,40.0
1164,1,1,60.0,110.0,50.0
1165,1,1,30.0,100.0,70.0
1166,1,1,139.0,200.0,61.0
1167,1,1,50.0,100.0,50.0
1168,1,1,25.0,30.0,5.0
1169,1,1,43.0,100.0,57.0
1170,1,1,60.0,200.0,140.0
1171,1,1,100.0,500.0,400.0
1172,1,1,25.0,50.0,25.0
1173,1,1,60.0,100.0,40.0
1174,1,1,60.0,70.0,10.0
1175,5,2,240.0,1000.0,760.0
1176,1,1,60.0,200.0,140.0
1177,1,1,275.0,500.0,225.0
1178,2,1,265.0,500.0,235.0
1179,3,1,225.0,400.0,175.0
1180,1,1,110.0,110.0,110.0
1181,2,2,120.0,1000.0,880.0
1182,1,1,60.0,110.0,50.0
1183,2,1,815.0,1000.0,175.0
1184,1,1,60.0,70.0,10.0
1185,1,1,50.0,100.0,50.0
1186,1,1,35.0,50.0,15.0
1187,1,1,60.0,200.0,140.0
1188,2,1,140.0,150.0,10.0
1189,1,1,25.0,50.0,25.0
1190,1,1,50.0,200.0,150.0
1191,2,1,168.0,1000.0,832.0
1192,2,1,120.0,500.0,380.0
1193,2,2,230.0,240.0,10.0
1194,1,1,40.0,100.0,60.0
1195,1,1,115.0,120.0,5.0
1196,3,1,160.0,200.0,40.0
1197,1,1,50.0,100.0,50.0
1198,4,3,254.0,300.0,46.0
1199,1,1,80.0,100.0,20.0
1200,1,1,80.0,100.0,20.0
1201,1,1,80.0,100.0,20.0
1202,3,1,170.0,200.0,30.0
1203,1,1,60.0,200.0,140.0
1204,3,1,140.0,1000.0,860.0
1205,1,1,101.0,1000.0,899.0
1206,1,1,80.0,100.0,20.0
1207,1,1,60.0,60.0,0.0
1208,3,1,175.0,500.0,325.0
1209,2,1,130.0,200.0,70.0
1210,2,1,45.0,50.0,5.0
1211,1,1,120.0,500.0,380.0
1212,3,1,205.0,205.0,0.0
1213,1,1,70.0,500.0,430.0
1214,2,1,130.0,1000.0,870.0
1215,2,1,195.0,200.0,5.0
1216,1,1,30.0,100.0,70.0
1217,1,1,60.0,100.0,40.0
1218,2,1,185.0,1000.0,815.0
1219,2,1,115.0,200.0,85.0
1220,2,1,120.0,520.0,400.0
1221,2,1,193.0,1000.0,807.0
1222,1,1,60.0,100.0,40.0
1223,1,1,65.0,100.0,35.0
1224,1,1,100.0,100.0,0.0
1225,1,1,120.0,500.0,380.0
1226,3,1,245.0,500.0,255.0
1227,1,1,70.0,100.0,30.0
1228,1,1,30.0,100.0,70.0
1229,1,1,70.0,1000.0,930.0
1230,1,1,115.0,120.0,5.0
1231,4,1,204.0,500.0,296.0
1232,3,1,220.0,500.0,280.0
1233,1,1,25.0,50.0,25.0
1234,3,1,290.0,1000.0,710.0
1235,1,1,80.0,100.0,20.0
1236,1,1,70.0,500.0,430.0
1237,1,1,50.0,100.0,50.0
1238,1,1,25.0,50.0,25.0
1239,1,1,120.0,1000.0,880.0
1240,1,1,25.0,40.0,15.0
1241,1,1,80.0,200.0,120.0
1242,1,1,100.0,100.0,0.0
1243,1,1,70.0,70.0,0.0
1244,2,1,140.0,500.0,360.0
1245,1,1,60.0,200.0,140.0
1246,1,1,60.0,100.0,40.0
1247,2,1,105.0,200.0,95.0
1248,1,1,60.0,100.0,40.0
1250,2,2,155.0,200.0,55.0
1251,2,1,130.0,500.0,370.0
1252,1,1,55.0,55.0,0.0
1253,1,1,99.4,200.0,100.6
1254,1,1,85.0,100.0,15.0
1255,1,1,60.0,1000.0,940.0
1256,2,1,115.0,500.0,385.0
1257,1,1,90.0,100.0,10.0
1258,1,1,80.0,100.0,20.0
1259,1,1,60.0,200.0,14.0
1260,1,1,50.0,200.0,150.0
1261,1,1,85.0,100.0,15.0
1262,1,1,215.0,300.0,85.0
1263,1,1,60.0,100.0,40.0
1264,1,1,1000.0,100.0,0.0
1265,12,1,2024.0,2024.0,0.0
1266,1,1,60.0,200.0,140.0
1267,1,1,55.0,55.0,0.0
1268,1,1,130.0,130.0,0.0
1269,3,1,275.0,500.0,225.0
1270,3,1,222.0,500.0,278.0
1271,1,1,60.0,200.0,140.0
1272,1,1,70.0,70.0,0.0
1273,4,1,314.0,400.0,84.0
1274,3,1,110.0,120.0,10.0
1275,1,1,130.0,500.0,370.0
1276,1,1,55.0,55.0,0.0
1277,2,2,1540.0,2000.0,460.0
1278,4,2,869.0,1000.0,131.0
1279,2,1,75.0,1000.0,925.0
1280,2,1,96.0,200.0,104.0
1281,2,1,293.0,500.0,207.0
1282,1,1,40.0,50.0,10.0
1283,1,1,35.0,35.0,0.0
1284,1,1,90.0,500.0,410.0
1285,1,1,235.0,250.0,15.0
1286,1,1,75.0,80.0,5.0
1287,1,1,90.0,100.0,10.0
1288,2,1,137.0,200.0,63.0
1289,1,1,175.0,205.0,30.0
1290,1,1,55.0,60.0,5.0
1291,1,1,270.0,300.0,30.0
1292,1,1,90.0,100.0,10.0
1293,9,3,907.0,1000.0,93.0
1294,1,1,95.0,100.0,5.0
1295,7,1,961.0,1000.0,39.0
1296,10,3,2903.0,2903.0,0.0
1297,6,2,736.0,1000.0,263.0
1298,1,1,58.0,70.0,12.0
1299,3,2,122.0,200.0,78.0
1300,1,1,100.0,100.0,0.0
1301,3,1,45.0,50.0,5.0
1302,2,1,120.0,120.0,0.0
1303,2,1,220.0,220.0,0.0
1304,1,1,60.0,60.0,0.0
1305,2,1,50.0,50.0,0.0
1306,2,1,130.0,130.0,0.0
1307,1,1,40.0,40.0,0.0
1308,2,1,50.0,50.0,0.0
1309,1,1,40.0,100.0,60.0
1310,2,1,125.0,200.0,75.0
1311,4,2,515.0,600.0,85.0
1312,6,3,363.0,500.0,137.0
1313,1,1,85.0,500.0,415.0
1314,3,3,225.0,250.0,25.0
1315,1,1,45.0,50.0,5.0
1316,3,3,205.0,500.0,295.0
1317,1,1,60.0,60.0,0.0
1318,1,1,90.0,100.0,10.0
1319,2,2,155.0,1000.0,845.0
1320,1,1,45.0,50.0,5.0
1321,2,1,40.0,100.0,60.0
1322,1,1,70.0,100.0,30.0
1323,1,1,60.0,100.0,40.0
1324,2,1,230.0,1000.0,770.0
1325,1,1,30.0,50.0,20.0
1326,1,1,60.0,500.0,440.0
1327,2,2,100.0,100.0,0.0
1328,1,1,50.0,100.0,50.0
1329,1,1,30.0,100.0,70.0
1330,1,1,115.0,1000.0,885.0
1331,1,1,80.0,100.0,20.0
1332,5,1,295.0,300.0,5.0
1333,2,2,205.0,205.0,0.0
1334,4,2,1468.0,2000.0,532.0
1335,1,1,60.0,70.0,10.0
1336,1,1,60.0,100.0,40.0
1337,4,2,110.0,210.0,100.0
1339,1,1,60.0,110.0,50.0
1340,1,1,60.0,100.0,40.0
1341,1,1,60.0,100.0,40.0
1342,2,2,130.0,140.0,10.0
1343,2,2,70.0,100.0,30.0
1344,5,3,282.0,500.0,218.0
1345,1,1,60.0,60.0,0.0
1346,1,1,60.0,100.0,40.0
1347,10,3,614.0,1000.0,386.0
1348,9,3,599.75,100.0,400.25
1349,4,2,330.0,400.0,70.0
1350,2,2,165.0,200.0,35.0
1351,1,1,110.0,150.0,40.0
1352,1,1,80.0,100.0,20.0
1353,3,1,185.0,200.0,15.0
1354,1,1,40.0,50.0,10.0
1355,2,1,120.0,200.0,80.0
1356,1,1,145.0,1000.0,855.0
1357,1,1,200.0,200.0,0.0
1358,1,1,60.0,60.0,0.0
1359,1,1,40.0,100.0,60.0
1360,2,2,80.0,200.0,120.0
1361,2,1,130.0,200.0,70.0
1362,4,3,185.0,200.0,15.0
1363,6,2,120.0,500.0,380.0
1364,3,2,130.0,500.0,370.0
1365,1,1,85.0,100.0,15.0
1366,1,1,70.0,500.0,430.0
1367,1,1,60.0,100.0,40.0
1368,1,1,25.0,50.0,25.0
1369,1,1,40.0,200.0,160.0
1370,1,1,5.0,5.0,0.0
1371,1,1,50.0,1000.0,950.0
1372,1,1,50.0,50.0,0.0
1373,1,1,60.0,90.0,30.0
1374,1,1,60.0,100.0,40.0
1375,1,1,15.0,15.0,0.0
1376,2,1,130.0,150.0,20.0
1377,2,1,100.0,100.0,0.0
1378,3,2,325.0,500.0,175.0
1379,2,1,50.0,50.0,0.0
1380,1,1,25.0,100.0,75.0
1381,16,1,790.0,1000.0,210.0
1382,3,3,440.0,500.0,60.0
1383,1,1,36.4,100.0,63.6
1384,1,1,60.0,100.0,40.0
1385,1,1,35.0,50.0,15.0
1386,1,1,70.0,200.0,130.0
1387,1,1,60.0,200.0,140.0
1388,2,1,120.0,200.0,80.0
1389,3,1,58.0,100.0,42.0
1390,3,2,140.0,200.0,60.0
1391,1,1,160.0,200.0,40.0
1392,1,1,60.0,200.0,140.0
1393,2,1,130.0,200.0,70.0
1394,1,1,25.0,50.0,25.0
1395,1,1,60.0,1000.0,940.0
1396,1,1,60.0,200.0,140.0
1397,4,3,320.0,320.0,0.0
1398,2,1,120.0,200.0,80.0
1399,1,1,190.0,200.0,10.0
1400,1,1,50.0,50.0,0.0
1401,1,1,100.0,100.0,0.0
1402,2,2,725.0,725.0,0.0
1403,1,1,200.0,200.0,0.0
1404,1,1,530.0,600.0,70.0
1405,1,1,95.0,100.0,5.0
1406,18,1,2654.71,2654.71,0.0
1407,1,1,35.0,112.0,77.0
1408,2,1,180.0,200.0,20.0
1409,1,1,35.0,35.0,0.0
1410,8,3,965.0,965.0,0.0
1411,11,3,3895.0,3895.0,0.0
1412,2,1,180.0,200.0,20.0
1413,4,2,161.0,200.0,39.0
1414,3,2,410.0,410.0,0.0
1415,1,1,105.0,1000.0,895.0
1416,5,1,2450.0,2450.0,0.0
1417,3,2,215.0,1000.0,785.0
1418,3,1,300.0,300.0,0.0
1419,1,1,60.0,100.0,40.0
1420,6,1,858.0,1000.0,142.0
1421,1,1,45.0,50.0,5.0
1422,6,2,920.0,1000.0,80.0
1423,2,1,150.0,1000.0,850.0
1424,1,1,34.0,100.0,66.0
1425,14,3,848.0,1000.0,152.0
1426,1,1,90.0,1000.0,910.0
1427,2,1,95.0,200.0,105.0
1428,1,1,90.0,100.0,10.0
1429,4,1,526.0,526.0,0.0
1430,1,1,35.0,40.0,5.0
1431,5,3,331.0,331.0,0.0
1432,2,2,140.0,200.0,40.0
1433,1,1,100.0,100.0,0.0
1434,1,1,30.0,50.0,20.0
1435,1,1,50.0,50.0,0.0
1436,2,2,80.0,100.0,20.0
1437,1,1,35.0,100.0,65.0
1438,2,1,60.0,60.0,0.0
1439,1,1,80.0,1000.0,920.0
1440,1,1,30.0,200.0,170.0
1441,1,1,60.0,500.0,440.0
1442,1,1,60.0,70.0,10.0
1443,1,1,60.0,200.0,140.0
1444,2,2,110.0,110.0,0.0
1445,2,1,140.0,500.0,360.0
1446,3,2,138.0,200.0,62.0
1447,4,3,185.0,500.0,15.0
1448,1,1,49.0,100.0,51.0
1449,2,2,134.0,150.0,16.0
1450,2,1,78.0,78.0,0.0
1451,1,1,155.0,200.0,45.0
1452,1,1,165.0,200.0,35.0
1453,1,1,90.0,200.0,110.0
1454,3,2,325.0,1000.0,675.0
1455,2,2,105.0,105.0,0.0
1456,1,1,70.0,200.0,130.0
1457,2,3,1230.0,1230.0,0.0
1458,1,1,90.0,100.0,10.0
1459,4,3,1810.0,2000.0,190.0
1460,2,3,516.0,516.0,0.0
1461,2,1,290.0,500.0,210.0
1462,5,2,596.0,1000.0,404.0
1463,2,2,120.0,2000.0,1880.0
